Year,Team_Name,Games_injured
2021,fc-watford,539
2021,fc-burnley,344
2022,manchester-city,232
2022,fc-arsenal,341
2022,fc-chelsea,397
2022,manchester-united,540
2022,fc-liverpool,423
2022,tottenham-hotspur,270
2022,newcastle-united,352
2022,brighton-amp-hove-albion,347
2022,aston-villa,384
2022,wolverhampton-wanderers,301
2022,leicester-city,363
2022,west-ham-united,342
2022,fc-southampton,370
2022,fc-everton,320
2022,nottingham-forest,590
2022,fc-brentford,392
2022,leeds-united,415
2022,crystal-palace,304
2022,fc-fulham,398
2022,afc-bournemouth,538
2023,manchester-city,136
2023,fc-arsenal,261
2023,fc-chelsea,560
2023,fc-liverpool,379
2023,tottenham-hotspur,314
2023,manchester-united,495
2023,aston-villa,321
2023,newcastle-united,414
2023,brighton-amp-hove-albion,371
2023,west-ham-united,185
2023,fc-brentford,531
2023,crystal-palace,373
2023,nottingham-forest,371
2023,afc-bournemouth,372
2023,fc-everton,227
2023,wolverhampton-wanderers,262
2023,fc-fulham,222
2023,fc-burnley,323
2023,sheffield-united,517
2023,luton-town,373
